objectid,event_time_utc,event_time_epoch_ms,city_twp,display_address,incident_type,agency_type,agency_name,latitude,longitude
2,2026-08-01T19:59:00Z,1785614340000,GAINES TWP,6900 BLOCK OF HAMMOND AVE SE,DISORDERLY PERSON,Police,KENT CO SHERIFF,,
1,2026-08-01T19:59:00Z,1785614340000,KENTWOOD,4400 BLOCK OF BRETON AVE SE,WEAPONS VIOLATION,Police,KENTWOOD POLICE,,
1,2026-08-01T20:07:00Z,1785614820000,GRANDVILLE,3700 BLOCK OF RIVERTOWN PKWY SW,VEHICLE CRASH,Police,GRANDVILLE POLICE,,
11,2026-08-01T20:09:00Z,1785614940000,GRAND RAPIDS TWP,E FULTON EB AT I-96,VEHICLE CRASH,Police,KENT CO SHERIFF,42.96198738,-85.57775631
4,2026-08-01T20:16:00Z,1785615360000,KENTWOOD,CROSSWINDS DR SE / TRADEWINDS DR SE,FIRE INVESTIGATION,Fire,KENTWOOD FIRE,,
2,2026-08-01T20:18:00Z,1785615480000,WYOMING,CLYDE PARK AVE SW / 26TH ST SW,VEHICLE CRASH,Police,WYOMING FIRE,,
1,2026-08-01T20:18:00Z,1785615480000,WYOMING,5600 BLOCK OF S DIVISION AVE,BURGLARY,Police,WYOMING POLICE,,
2,2026-08-01T20:18:00Z,1785615480000,WYOMING,CLYDE PARK AVE SW / 26TH ST SW,VEHICLE CRASH,Police,WYOMING POLICE,,
1,2026-08-01T20:19:00Z,1785615540000,WYOMING,32ND ST SE / S DIVISION AVE,VEHICLE CRASH,Police,WYOMING FIRE,,
2,2026-08-01T20:19:00Z,1785615540000,WYOMING,32ND ST SE / S DIVISION AVE,VEHICLE CRASH,Police,WYOMING POLICE,,
2,2026-08-01T20:27:00Z,1785616020000,KENTWOOD,3100 BLOCK OF CREEK DR SE,GENERAL ASSIST,Police,KENTWOOD POLICE,,
12,2026-08-01T20:29:00Z,1785616140000,ALPINE TWP,400 BLOCK OF DUKE OF YORK CT NW,HARASSMENT,Police,KENT CO SHERIFF,,
1,2026-08-01T20:31:00Z,1785616260000,KENTWOOD,2200 BLOCK OF WEST GREENSTONE DR SE,MEDICAL EMERGENCY,Fire,KENTWOOD FIRE,,
10,2026-08-01T20:39:00Z,1785616740000,WYOMING,1900 BLOCK OF DE HOOP AVE SW,LOUD NOISE,Police,WYOMING POLICE,,
3,2026-08-01T20:39:00Z,1785616740000,WYOMING,DE HOOP AVE SW / HUDSON ST SW,LOUD NOISE,Police,WYOMING POLICE,,
2,2026-08-01T20:43:00Z,1785616980000,KENTWOOD,3300 BLOCK OF PINE MEADOW DR SE,MEDICAL EMERGENCY,Fire,KENTWOOD FIRE,,
1,2026-08-01T20:43:00Z,1785616980000,KENTWOOD,3700 BLOCK OF 28TH ST SE,VEHICLE CRASH,Police,KENTWOOD POLICE,,
8,2026-08-01T20:49:00Z,1785617340000,PLAINFIELD TWP,7800 BLOCK OF CHILDSDALE AVE NE,ANIMAL INCIDENT,Police,ANIMAL CONTROL,,
2,2026-08-01T20:52:00Z,1785617520000,KENTWOOD,5300 BLOCK OF KIMBALL AVE SE,ASSAULT,Police,KENTWOOD POLICE,,
1,2026-08-01T20:57:00Z,1785617820000,WALKER,REMEMBRANCE RD NW / MULLINS AVE NW,VEHICLE CRASH,Police,WALKER POLICE,,
4,2026-08-01T21:02:00Z,1785618120000,PLAINFIELD TWP,RIVERWOODS DR NE / KUTTSHILL DR NE,WIRE DOWN,Fire,PLAINFIELD TWP FIRE,,
2,2026-08-01T21:03:00Z,1785618180000,PLAINFIELD TWP,BALL PARK DR NE / WEST RIVER DR NE,VEHICLE CRASH,Police,KENT CO SHERIFF,,
3,2026-08-01T21:03:00Z,1785618180000,PLAINFIELD TWP,BALL PARK DR NE / WEST RIVER DR NE,VEHICLE CRASH,Police,PLAINFIELD TWP FIRE,,
4,2026-08-01T21:04:00Z,1785618240000,NELSON TWP,9000 BLOCK OF 18 MILE RD NE,GENERAL ASSIST,Police,KENT CO SHERIFF,,
3,2026-08-01T21:04:00Z,1785618240000,KENTWOOD,4700 BLOCK OF EASTERN AVE SE,MISSING PERSON,Police,KENTWOOD POLICE,,
14,2026-08-01T21:05:00Z,1785618300000,WYOMING,US-131 NB NO 36TH,VEHICLE CRASH,Police,WYOMING POLICE,42.89940525,-85.67771096
2,2026-08-01T21:06:00Z,1785618360000,KENTWOOD,4300 BLOCK OF 28TH ST SE,VEHICLE CRASH,Police,KENTWOOD POLICE,,
1,2026-08-01T21:07:00Z,1785618420000,KENTWOOD,4300 BLOCK OF 28TH ST SE,VEHICLE CRASH,Police,KENTWOOD FIRE,,
1,2026-08-01T21:13:00Z,1785618780000,PLAINFIELD TWP,5900 BLOCK OF VIEWPOINT CT NE,MEDICAL EMERGENCY,Fire,PLAINFIELD TWP FIRE,,
3,2026-08-01T21:14:00Z,1785618840000,SAND LAKE,300 BLOCK OF S 3RD ST NE,VEHICLE CRASH,Police,KENT CO SHERIFF,,
