objectid,event_time_utc,event_time_epoch_ms,city_twp,display_address,incident_type,agency_type,agency_name,latitude,longitude
1,2026-09-01T00:06:00Z,1788221160000,CASCADE TWP,5700 BLOCK OF 28TH ST SE,MEDICAL EMERGENCY,Fire,CASCADE TWP FIRE,,
2,2026-09-01T00:08:00Z,1788221280000,KENTWOOD,4000 BLOCK OF WOODLAND CREEK DR SE,GENERAL ASSIST,Police,KENTWOOD POLICE,,
1,2026-09-01T00:11:00Z,1788221460000,WYOMING,2500 BLOCK OF 36TH ST SW,MEDICAL EMERGENCY,Fire,WYOMING FIRE,,
1,2026-09-01T00:11:00Z,1788221460000,WYOMING,2500 BLOCK OF 36TH ST SW,GENERAL ASSIST,Police,WYOMING POLICE,,
2,2026-09-01T00:19:00Z,1788221940000,GAINES TWP,300 BLOCK OF 100TH ST SE,CARBON MONOXIDE INVESTIGATION,Fire,GAINES TWP FIRE,,
1,2026-09-01T00:21:00Z,1788222060000,KENTWOOD,200 BLOCK OF 52ND ST SE,GENERAL ASSIST,Police,KENTWOOD POLICE,,
1,2026-09-01T00:23:00Z,1788222180000,GRAND RAPIDS TWP,4400 BLOCK OF LEONARD ST NE,MISC FIRE,Fire,GRAND RAPIDS TWP FIRE,,
1,2026-09-01T00:32:00Z,1788222720000,KENTWOOD,3300 BLOCK OF 36TH ST SE,LARCENY,Police,KENTWOOD POLICE,,
3,2026-09-01T00:36:00Z,1788222960000,WYOMING,3500 BLOCK OF BIRCHWOOD AVE SW,MEDICAL EMERGENCY,Fire,WYOMING FIRE,,
1,2026-09-01T00:37:00Z,1788223020000,CASCADE TWP,5500 BLOCK OF 33RD ST SE,MEDICAL EMERGENCY,Fire,CASCADE TWP FIRE,,
2,2026-09-01T00:37:00Z,1788223020000,WYOMING,5300 BLOCK OF WILSON AVE SW,MEDICAL EMERGENCY,Fire,WYOMING FIRE,,
