source,event_time_raw,event_time_utc,event_time_epoch_ms,incident_type,location
police,05/31/2026 20:04,2026-06-01T00:04:00Z,1780272240000,ASLT,1500 MUSKEGON AVE NW
police,05/31/2026 20:10,2026-06-01T00:10:00Z,1780272600000,DISO,LAFAYETTE AVE NE / PLAINFIELD AVE NE
fire,05/31/2026 20:18,2026-06-01T00:18:00Z,1780273080000,MED1,200 TROWBRIDGE ST NE
police,05/31/2026 20:19,2026-06-01T00:19:00Z,1780273140000,SUSPICIOUS,2900 ENGLEWOOD AVE SE
fire,05/31/2026 20:26,2026-06-01T00:26:00Z,1780273560000,MED0,0 ALBANY ST SW
police,05/31/2026 20:26,2026-06-01T00:26:00Z,1780273560000,ASLTW,0 ALBANY ST SW
fire,05/31/2026 20:41,2026-06-01T00:41:00Z,1780274460000,MED1,1900 BRIDGE ST NW
fire,05/31/2026 20:52,2026-06-01T00:52:00Z,1780275120000,MED1,2100 WOODWIND DR SE
police,05/31/2026 20:54,2026-06-01T00:54:00Z,1780275240000,DOM,500 ELEANOR ST NE
police,05/31/2026 20:58,2026-06-01T00:58:00Z,1780275480000,OBSCENE,400 MICHIGAN ST NE
fire,05/31/2026 21:04,2026-06-01T01:04:00Z,1780275840000,MED1,1000 33RD ST SE
police,05/31/2026 21:10,2026-06-01T01:10:00Z,1780276200000,DOMA,1100 MADISON AVE SE
fire,05/31/2026 21:14,2026-06-01T01:14:00Z,1780276440000,MED2,400 LEONARD ST NW
police,05/31/2026 21:18,2026-06-01T01:18:00Z,1780276680000,WELFARE,0 E FULTON ST
police,05/31/2026 21:29,2026-06-01T01:29:00Z,1780277340000,DISO,600 STOCKING AVE NW
fire,05/31/2026 21:30,2026-06-01T01:30:00Z,1780277400000,MED1,900 BURTON ST SE
police,05/31/2026 21:34,2026-06-01T01:34:00Z,1780277640000,WELFARE,1500 E FULTON ST
fire,05/31/2026 21:36,2026-06-01T01:36:00Z,1780277760000,MED2,1900 PERKINS AVE NE
police,05/31/2026 21:38,2026-06-01T01:38:00Z,1780277880000,ASLT,100 BURTON ST SE
police,05/31/2026 21:40,2026-06-01T01:40:00Z,1780278000000,DOMA,900 HAZEN ST SE
fire,05/31/2026 21:41,2026-06-01T01:41:00Z,1780278060000,INVEST,1100 MCREYNOLDS AVE NW
fire,05/31/2026 21:43,2026-06-01T01:43:00Z,1780278180000,CARBON,600 LAMBERTON ST NE
police,05/31/2026 22:27,2026-06-01T02:27:00Z,1780280820000,WELFARE,1000 COLDBROOK ST NE
police,05/31/2026 22:40,2026-06-01T02:40:00Z,1780281600000,SUSPICIOUS,800 SPRING AVE NE
police,05/31/2026 22:43,2026-06-01T02:43:00Z,1780281780000,DISO,900 NAGOLD ST NW
police,05/31/2026 22:44,2026-06-01T02:44:00Z,1780281840000,DISO,BRIDGE ST NW / SEWARD AVE NW
police,05/31/2026 22:44,2026-06-01T02:44:00Z,1780281840000,DOM,VALLEYWOOD DR SE / CLAYSTONE ST SE
fire,05/31/2026 22:48,2026-06-01T02:48:00Z,1780282080000,MED2,1600 LEONARD ST NE
police,05/31/2026 22:59,2026-06-01T02:59:00Z,1780282740000,STOP,100 CHERRY ST SE
fire,05/31/2026 23:07,2026-06-01T03:07:00Z,1780283220000,MED1,2700 BIRCHCREST DR SE
police,05/31/2026 23:07,2026-06-01T03:07:00Z,1780283220000,ASLT,1100 BURTON ST SE
police,05/31/2026 23:09,2026-06-01T03:09:00Z,1780283340000,LARC,1400 FULLER AVE SE
police,05/31/2026 23:11,2026-06-01T03:11:00Z,1780283460000,DOM,2200 EASTCASTLE DR SE
police,05/31/2026 23:27,2026-06-01T03:27:00Z,1780284420000,STOP,LA GRAVE AVE SE / WEALTHY ST SE
police,05/31/2026 23:32,2026-06-01T03:32:00Z,1780284720000,STOP,EASTERN AVE SE / EVERGREEN ST SE
police,05/31/2026 23:39,2026-06-01T03:39:00Z,1780285140000,STOP,KALAMAZOO AVE SE / ALGER ST SE
fire,05/31/2026 23:40,2026-06-01T03:40:00Z,1780285200000,FIREOTHER,1000 HAMILTON AVE NW
police,05/31/2026 23:41,2026-06-01T03:41:00Z,1780285260000,DOM,1400 DEAN ST NE
fire,05/31/2026 23:45,2026-06-01T03:45:00Z,1780285500000,FIREOTHER,200 DEAN ST NE
police,05/31/2026 23:47,2026-06-01T03:47:00Z,1780285620000,DISO,700 MICHIGAN ST NE
fire,05/31/2026 23:50,2026-06-01T03:50:00Z,1780285800000,MED2,500 HALL ST SE
police,05/31/2026 23:51,2026-06-01T03:51:00Z,1780285860000,ASSIST,100 GRIGGS ST SW
police,05/31/2026 23:54,2026-06-01T03:54:00Z,1780286040000,WPNB,1100 S DIVISION AVE
police,05/31/2026 23:54,2026-06-01T03:54:00Z,1780286040000,ASSIST,200 DEAN ST NE
police,05/31/2026 23:55,2026-06-01T03:55:00Z,1780286100000,DOM,1300 PARIS AVE NE
police,06/01/2026 00:09,2026-06-01T04:09:00Z,1780286940000,STOP,JEFFERSON AVE SE / GARDEN ST SE
police,06/01/2026 00:11,2026-06-01T04:11:00Z,1780287060000,DISO,700 WORDEN ST SE
police,06/01/2026 00:15,2026-06-01T04:15:00Z,1780287300000,WELFARE,600 CLANCY AVE NE
police,06/01/2026 00:18,2026-06-01T04:18:00Z,1780287480000,STOP,HALL ST SE / ALTO AVE SE
fire,06/01/2026 00:29,2026-06-01T04:29:00Z,1780288140000,MED2,1800 FRANCIS AVE SE
police,06/01/2026 00:29,2026-06-01T04:29:00Z,1780288140000,SHOOTING,1800 FRANCIS AVE SE
fire,06/01/2026 00:39,2026-06-01T04:39:00Z,1780288740000,MED1,1700 MARTIN AVE SE
fire,06/01/2026 00:53,2026-06-01T04:53:00Z,1780289580000,MED1,800 ARDMORE ST SE
fire,06/01/2026 01:21,2026-06-01T05:21:00Z,1780291260000,MED1,1000 BUTTERWORTH ST SW
police,06/01/2026 01:30,2026-06-01T05:30:00Z,1780291800000,DOM,300 QUIMBY ST NE
police,06/01/2026 01:31,2026-06-01T05:31:00Z,1780291860000,SUSPICIOUS,CHERRY ST SE / LA GRAVE AVE SE
police,06/01/2026 01:42,2026-06-01T05:42:00Z,1780292520000,ASSIST,LAKE DR SE / ROBINSON RD SE
police,06/01/2026 01:49,2026-06-01T05:49:00Z,1780292940000,NOISE,900 NAGOLD ST NW
fire,06/01/2026 01:56,2026-06-01T05:56:00Z,1780293360000,MED1,1100 IONIA AVE SW
police,06/01/2026 01:56,2026-06-01T05:56:00Z,1780293360000,DOM,MARTIN LUTHER KING JR ST SE / S DIVISION AVE
police,06/01/2026 02:06,2026-06-01T06:06:00Z,1780293960000,NOISE,700 FAIRVIEW AVE NE
fire,06/01/2026 02:26,2026-06-01T06:26:00Z,1780295160000,MED1,900 PASTICHE DR SE
police,06/01/2026 02:27,2026-06-01T06:27:00Z,1780295220000,SHOTS,0 HASTINGS ST NE
police,06/01/2026 02:27,2026-06-01T06:27:00Z,1780295220000,SHOTS,800 FAIRVIEW AVE NE
police,06/01/2026 02:35,2026-06-01T06:35:00Z,1780295700000,ALARM,2200 S DIVISION AVE
police,06/01/2026 02:36,2026-06-01T06:36:00Z,1780295760000,SUSPICIOUS,200 LOUIS ST NW
police,06/01/2026 02:46,2026-06-01T06:46:00Z,1780296360000,SHOTS,FRANCIS AVE SE / GRIGGS ST SE
police,06/01/2026 02:48,2026-06-01T06:48:00Z,1780296480000,SHOTS,1000 HOYT ST SE
fire,06/01/2026 02:49,2026-06-01T06:49:00Z,1780296540000,MED2,800 TWIN LAKES DR NE
police,06/01/2026 02:59,2026-06-01T06:59:00Z,1780297140000,STOP,OTTILLIA ST SE / NELSON AVE SE
police,06/01/2026 03:09,2026-06-01T07:09:00Z,1780297740000,SUSPICIOUS,200 DEAN ST NE
police,06/01/2026 03:23,2026-06-01T07:23:00Z,1780298580000,STOP,BRIDGE ST NW / MOUNT VERNON AVE NW
fire,06/01/2026 03:27,2026-06-01T07:27:00Z,1780298820000,AOA,1800 FRANCIS AVE SE
police,06/01/2026 03:36,2026-06-01T07:36:00Z,1780299360000,DOMA,3700 SENORA AVE SE
police,06/01/2026 03:45,2026-06-01T07:45:00Z,1780299900000,FIGHT,NELSON AVE SE / OTTILLIA ST SE
fire,06/01/2026 03:48,2026-06-01T07:48:00Z,1780300080000,FIREOTHER,400 CARPENTER AVE NW
police,06/01/2026 03:48,2026-06-01T07:48:00Z,1780300080000,SUSPICIOUS,900 PERKINS AVE NE
fire,06/01/2026 03:56,2026-06-01T07:56:00Z,1780300560000,MED1,2400 43RD ST SE
police,06/01/2026 04:01,2026-06-01T08:01:00Z,1780300860000,TRES,200 OTTAWA AVE NW
police,06/01/2026 04:03,2026-06-01T08:03:00Z,1780300980000,ASSIST,200 S DIVISION AVE
police,06/01/2026 04:22,2026-06-01T08:22:00Z,1780302120000,DOMA,600 MARTHA ST SW
police,06/01/2026 04:31,2026-06-01T08:31:00Z,1780302660000,SUSPICIOUS,1300 MADISON AVE SE
police,06/01/2026 04:31,2026-06-01T08:31:00Z,1780302660000,SUICIDETH,200 OTTAWA AVE NW
police,06/01/2026 04:32,2026-06-01T08:32:00Z,1780302720000,NOISE,3500 BROOKLYN AVE SE
fire,06/01/2026 04:45,2026-06-01T08:45:00Z,1780303500000,FIREALARM,700 JEFFERSON AVE SE
fire,06/01/2026 05:45,2026-06-01T09:45:00Z,1780307100000,MED2,2200 CLOVER DR NW
police,06/01/2026 05:56,2026-06-01T09:56:00Z,1780307760000,DOM,800 BROADWAY AVE NW
police,06/01/2026 06:03,2026-06-01T10:03:00Z,1780308180000,TRANSP,100 MICHIGAN ST NE
police,06/01/2026 06:14,2026-06-01T10:14:00Z,1780308840000,DISO,1400 WILCOX PARK DR SE
police,06/01/2026 06:24,2026-06-01T10:24:00Z,1780309440000,UNKACC,I-196 EB TO US-131 SB RAMP
police,06/01/2026 06:58,2026-06-01T10:58:00Z,1780311480000,TRES,300 S DIVISION AVE
police,06/01/2026 07:18,2026-06-01T11:18:00Z,1780312680000,ASSIST,700 STOCKING AVE NW
fire,06/01/2026 07:38,2026-06-01T11:38:00Z,1780313880000,MED1,1100 SHERMAN ST SE
police,06/01/2026 07:39,2026-06-01T11:39:00Z,1780313940000,STOP,ALPINE AVE NW / LEONARD ST NW
fire,06/01/2026 07:41,2026-06-01T11:41:00Z,1780314060000,INVEST,600 KENT HILLS RD NE
police,06/01/2026 07:42,2026-06-01T11:42:00Z,1780314120000,STOP,KNAPP ST NE / FULLER AVE NE
police,06/01/2026 07:43,2026-06-01T11:43:00Z,1780314180000,DISO,300 MONROE AVE NW
police,06/01/2026 07:54,2026-06-01T11:54:00Z,1780314840000,SUSPICIOUS,700 WEALTHY ST SW
police,06/01/2026 07:57,2026-06-01T11:57:00Z,1780315020000,ASSIST,PEARL ST NW / MOUNT VERNON AVE NW
police,06/01/2026 07:58,2026-06-01T11:58:00Z,1780315080000,DISO,600 MILWAUKEE AVE NW
police,06/01/2026 08:00,2026-06-01T12:00:00Z,1780315200000,MDOP,400 BARNETT ST NE
fire,06/01/2026 08:10,2026-06-01T12:10:00Z,1780315800000,MED1,3200 SOFT WATER LAKE DR NE
police,06/01/2026 08:11,2026-06-01T12:11:00Z,1780315860000,STOP,IONIA AVE SW / WESTON ST SW
police,06/01/2026 08:26,2026-06-01T12:26:00Z,1780316760000,WARRANTA,0 MONROE CENTER ST NW
police,06/01/2026 08:29,2026-06-01T12:29:00Z,1780316940000,STOP,WEALTHY ST SE / LA GRAVE AVE SE
police,06/01/2026 08:32,2026-06-01T12:32:00Z,1780317120000,SHOOTPD,100 MARTIN LUTHER KING JR ST SE
police,06/01/2026 08:35,2026-06-01T12:35:00Z,1780317300000,PDHR,1400 DAVIS AVE NW
police,06/01/2026 08:37,2026-06-01T12:37:00Z,1780317420000,PI,EAST PARIS AVE SE / CAMELOT RIDGE DR SE
police,06/01/2026 08:38,2026-06-01T12:38:00Z,1780317480000,STOP,S DIVISION AVE / DELAWARE ST SE
fire,06/01/2026 08:41,2026-06-01T12:41:00Z,1780317660000,MED2,OAKES ST SW / COMMERCE AVE SW
police,06/01/2026 08:41,2026-06-01T12:41:00Z,1780317660000,ASSIST,OAKES ST SW / COMMERCE AVE SW
police,06/01/2026 08:55,2026-06-01T12:55:00Z,1780318500000,FIGHT,100 SHELDON AVE SE
police,06/01/2026 08:57,2026-06-01T12:57:00Z,1780318620000,STOP,GRACE ST SE / CARLTON AVE SE
police,06/01/2026 09:01,2026-06-01T13:01:00Z,1780318860000,STOP,CASS AVE SE / GARDEN ST SE
police,06/01/2026 09:09,2026-06-01T13:09:00Z,1780319340000,TRES,1100 RICHMOND ST NW
police,06/01/2026 09:10,2026-06-01T13:10:00Z,1780319400000,DOMA,1100 BROADWAY AVE NW
police,06/01/2026 09:22,2026-06-01T13:22:00Z,1780320120000,ASSIST,700 LOGAN ST SE
police,06/01/2026 09:32,2026-06-01T13:32:00Z,1780320720000,TRES,1400 E FULTON ST
fire,06/01/2026 09:38,2026-06-01T13:38:00Z,1780321080000,MED1,3000 MONROE AVE NE
fire,06/01/2026 09:40,2026-06-01T13:40:00Z,1780321200000,MED1,1100 S DIVISION AVE
police,06/01/2026 09:40,2026-06-01T13:40:00Z,1780321200000,ECHO,3000 MONROE AVE NE
fire,06/01/2026 09:43,2026-06-01T13:43:00Z,1780321380000,MED1,2000 N  CROSS CREEK  DR SE
police,06/01/2026 09:46,2026-06-01T13:46:00Z,1780321560000,911U,2300 ROWLAND AVE SE
fire,06/01/2026 09:58,2026-06-01T13:58:00Z,1780322280000,MED1,1100 MARSHALL AVE SE
police,06/01/2026 09:59,2026-06-01T13:59:00Z,1780322340000,ALARM,1200 FULLER AVE SE
police,06/01/2026 10:02,2026-06-01T14:02:00Z,1780322520000,STOP,11TH ST NW / WIDDICOMB AVE NW
police,06/01/2026 10:06,2026-06-01T14:06:00Z,1780322760000,CSC,1000 BENJAMIN AVE SE
police,06/01/2026 10:07,2026-06-01T14:07:00Z,1780322820000,DISO,100 E FULTON ST
police,06/01/2026 10:11,2026-06-01T14:11:00Z,1780323060000,OBSCENE,28TH ST SE / EAST BELTLINE AVE SE
fire,06/01/2026 10:14,2026-06-01T14:14:00Z,1780323240000,MED1,200 CHERRY ST SE
police,06/01/2026 10:17,2026-06-01T14:17:00Z,1780323420000,MISC,0 MONROE CENTER ST NW
police,06/01/2026 10:17,2026-06-01T14:17:00Z,1780323420000,DISO,1200 E FULTON ST
fire,06/01/2026 10:24,2026-06-01T14:24:00Z,1780323840000,MED1,1500 MARGARET AVE SE
fire,06/01/2026 10:25,2026-06-01T14:25:00Z,1780323900000,MED1,0 ANTOINE ST SW
police,06/01/2026 10:26,2026-06-01T14:26:00Z,1780323960000,DOM,3900 STAHL DR SE
police,06/01/2026 10:27,2026-06-01T14:27:00Z,1780324020000,FIGHT,COMMERCE AVE SW / OAKES ST SW
police,06/01/2026 10:28,2026-06-01T14:28:00Z,1780324080000,STOP,STOCKING AVE NW / 5TH ST NW
police,06/01/2026 10:35,2026-06-01T14:35:00Z,1780324500000,ASLT,200 COMMERCE AVE SW
police,06/01/2026 10:36,2026-06-01T14:36:00Z,1780324560000,STOP,600 LEONARD ST NW
police,06/01/2026 10:41,2026-06-01T14:41:00Z,1780324860000,STOP,LAFAYETTE AVE NE / LYON ST NE
fire,06/01/2026 10:48,2026-06-01T14:48:00Z,1780325280000,MED1,1400 MORGAN ST NW
police,06/01/2026 10:52,2026-06-01T14:52:00Z,1780325520000,STOP,BRIDGE ST NW / BARKER AVE NW
police,06/01/2026 10:54,2026-06-01T14:54:00Z,1780325640000,TRES,1200 DAVIS AVE NW
police,06/01/2026 10:59,2026-06-01T14:59:00Z,1780325940000,PD,CLYDE PARK AVE SW / BURTON ST SW
police,06/01/2026 11:01,2026-06-01T15:01:00Z,1780326060000,DOMA,500 GRIGGS ST SE
fire,06/01/2026 11:03,2026-06-01T15:03:00Z,1780326180000,MED1,1900 KALAMAZOO AVE SE
fire,06/01/2026 11:16,2026-06-01T15:16:00Z,1780326960000,FIREALARM,1300 WALKER AVE NW
police,06/01/2026 11:17,2026-06-01T15:17:00Z,1780327020000,SUSPICIOUS,3900 STAHL DR SE
fire,06/01/2026 11:22,2026-06-01T15:22:00Z,1780327320000,FIREALARM,700 CLARK CROSSING DR SE
fire,06/01/2026 11:32,2026-06-01T15:32:00Z,1780327920000,MED1,2300 EAST BELTLINE AVE SE
fire,06/01/2026 11:32,2026-06-01T15:32:00Z,1780327920000,MED2,400 8TH ST NW
police,06/01/2026 11:32,2026-06-01T15:32:00Z,1780327920000,SUICIDEAT,400 8TH ST NW
police,06/01/2026 11:34,2026-06-01T15:34:00Z,1780328040000,TRES,1400 E FULTON ST
police,06/01/2026 11:48,2026-06-01T15:48:00Z,1780328880000,STOP,CHERRY UNDER US-131
police,06/01/2026 11:51,2026-06-01T15:51:00Z,1780329060000,DISO,400 IONIA AVE SW
fire,06/01/2026 11:57,2026-06-01T15:57:00Z,1780329420000,MED1,PEARL UNDER US-131
